festival_date,dong_name,festival_name,sigungu,festival_type,festival_duration
2023-05-09,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-10,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-11,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-12,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-13,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-05-14,무실동,제26회 원주한지문화제,원주시,문화예술,10
2023-08-19,명륜1동,치악산 복숭아 축제,원주시,특산물,2
2023-08-20,명륜1동,치악산 복숭아 축제,원주시,특산물,2
2023-10-21,지정면,치악산 고구마 축제,원주시,특산물,2
2023-10-22,지정면,치악산 고구마 축제,원주시,특산물,2
2023-03-31,경포동,2024 경포 벚꽃 축제,강릉시,자연,6
2023-04-01,경포동,2024 경포 벚꽃 축제,강릉시,자연,6
2023-04-02,경포동,2024 경포 벚꽃 축제,강릉시,자연,6
2023-04-03,경포동,2024 경포 벚꽃 축제,강릉시,자연,6
2023-04-04,경포동,2024 경포 벚꽃 축제,강릉시,자연,6
2023-04-05,경포동,2024 경포 벚꽃 축제,강릉시,자연,6
2023-05-13,경포동,제2회 초당미식로드축제 「초당도시락(樂)」,강릉시,기타,1
2023-06-18,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-19,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-20,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-21,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-22,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-23,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-24,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-25,"강남동,중앙동",강릉단오제,강릉시,전통역사,8
2023-06-30,경포동,제3회 강릉 비치비어페스티벌,강릉시,기타,3
2023-07-01,경포동,제3회 강릉 비치비어페스티벌,강릉시,기타,3
2023-07-02,경포동,제3회 강릉 비치비어페스티벌,강릉시,기타,3
2023-07-28,강동면,풍호마을축제,강릉시,기타,3
2023-07-29,강동면,풍호마을축제,강릉시,기타,3
2023-07-30,강동면,풍호마을축제,강릉시,기타,3
2023-07-30,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-07-31,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-08-01,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-08-02,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-08-03,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-08-04,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-08-05,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-08-06,경포동,2024 경포 썸머페스티벌,강릉시,기타,8
2023-07-08,중앙동,강릉문화재야행,강릉시,기타,3
2023-07-09,중앙동,강릉문화재야행,강릉시,기타,3
2023-07-10,중앙동,강릉문화재야행,강릉시,기타,3
2023-09-28,경포동,제2회 경포 등 축제,강릉시,기타,6
2023-09-29,경포동,제2회 경포 등 축제,강릉시,기타,6
2023-09-30,경포동,제2회 경포 등 축제,강릉시,기타,6
2023-10-01,경포동,제2회 경포 등 축제,강릉시,기타,6
2023-10-02,경포동,제2회 경포 등 축제,강릉시,기타,6
2023-10-03,경포동,제2회 경포 등 축제,강릉시,기타,6
2023-10-12,"초당동,경포동",제16회 강릉커피축제,강릉시,기타,4
2023-10-13,"초당동,경포동",제16회 강릉커피축제,강릉시,기타,4
2023-10-14,"초당동,경포동",제16회 강릉커피축제,강릉시,기타,4
2023-10-15,"초당동,경포동",제16회 강릉커피축제,강릉시,기타,4
2023-10-27,중앙동,제3회 강릉 누들축제,강릉시,특산물,3
2023-10-28,중앙동,제3회 강릉 누들축제,강릉시,특산물,3
2023-10-29,중앙동,제3회 강릉 누들축제,강릉시,특산물,3
2023-11-02,중앙동,제3회 강릉와인축제,강릉시,기타,3
2023-11-03,중앙동,제3회 강릉와인축제,강릉시,기타,3
2023-11-04,중앙동,제3회 강릉와인축제,강릉시,기타,3
2023-12-23,옥천동,제4회 강릉크리스마스 겨울축제,강릉시,기타,3
2023-12-24,옥천동,제4회 강릉크리스마스 겨울축제,강릉시,기타,3
2023-12-25,옥천동,제4회 강릉크리스마스 겨울축제,강릉시,기타,3
2022-12-31,"경포동,강동면",2025 해돋이 행사,강릉시,기타,2
2023-01-01,"경포동,강동면",2025 해돋이 행사,강릉시,기타,2
2023-05-05,북평동,동해항 크랩킹페스타,동해시,특산물,3
2023-05-06,북평동,동해항 크랩킹페스타,동해시,특산물,3
2023-05-07,북평동,동해항 크랩킹페스타,동해시,특산물,3
2023-09-08,묵호동,제6회 묵호등대 논골담길 축제,동해시,문화예술,3
2023-09-09,묵호동,제6회 묵호등대 논골담길 축제,동해시,문화예술,3
2023-09-10,묵호동,제6회 묵호등대 논골담길 축제,동해시,문화예술,3
2023-06-09,북삼동,제2회 무릉별유천지 라벤더 축제,동해시,생태자연,3
2023-06-10,북삼동,제2회 무릉별유천지 라벤더 축제,동해시,생태자연,3
2023-06-11,북삼동,제2회 무릉별유천지 라벤더 축제,동해시,생태자연,3
2023-07-21,발한동,묵호도째비페스타,동해시,특산물,3
2023-07-22,발한동,묵호도째비페스타,동해시,특산물,3
2023-07-23,발한동,묵호도째비페스타,동해시,특산물,3
2023-09-22,천곡동,동해무릉제,동해시,주민화합,3
2023-09-23,천곡동,동해무릉제,동해시,주민화합,3
2023-09-24,천곡동,동해무릉제,동해시,주민화합,3
2023-01-27,"문곡소도동, 황지동",제 31회 태백산 눈축제,태백시,생태자연,5
2023-01-28,"문곡소도동, 황지동",제 31회 태백산 눈축제,태백시,생태자연,5
2023-01-29,"문곡소도동, 황지동",제 31회 태백산 눈축제,태백시,생태자연,5
2023-01-30,"문곡소도동, 황지동",제 31회 태백산 눈축제,태백시,생태자연,5
2023-01-31,"문곡소도동, 황지동",제 31회 태백산 눈축제,태백시,생태자연,5
2023-07-28,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-07-29,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-07-30,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-07-31,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-08-01,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-08-02,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-08-03,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-08-04,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-08-05,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-08-06,황지동,한강낙동강발원지 축제,태백시,문화예술,10
2023-10-01,문곡소도동,태백제,태백시,주민화합,3
2023-10-02,문곡소도동,태백제,태백시,주민화합,3
2023-10-03,문곡소도동,태백제,태백시,주민화합,3
2023-04-29,장성동,태백 천상의 산나물축제,태백시,생태자연,3
2023-04-30,장성동,태백 천상의 산나물축제,태백시,생태자연,3
2023-05-01,장성동,태백 천상의 산나물축제,태백시,생태자연,3
2023-04-08,노학동,설악벚꽃축제,속초시,생태자연,1
2023-06-09,"조양동,청호동",2024 실향민문화축제,속초시,문화예술,3
2023-06-10,"조양동,청호동",2024 실향민문화축제,속초시,문화예술,3
2023-06-11,"조양동,청호동",2024 실향민문화축제,속초시,문화예술,3
2023-07-28,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-07-29,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-07-30,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-07-31,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-08-01,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-08-02,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-08-03,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-08-04,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-08-05,조양동,2024 속초썸머페스티벌,속초시,문화예술,9
2023-10-06,조양동,2024 속초음식축제,속초시,특산물,3
2023-10-07,조양동,2024 속초음식축제,속초시,특산물,3
2023-10-08,조양동,2024 속초음식축제,속초시,특산물,3
2023-10-06,"조양동,금호동,교동",제59회 설악문화제,속초시,문화예술,3
2023-10-07,"조양동,금호동,교동",제59회 설악문화제,속초시,문화예술,3
2023-10-08,"조양동,금호동,교동",제59회 설악문화제,속초시,문화예술,3
2023-02-03,"조양동,교동",삼척정월대보름제,삼척시,전통역사,3
2023-02-04,"조양동,교동",삼척정월대보름제,삼척시,전통역사,3
2023-02-05,"조양동,교동",삼척정월대보름제,삼척시,전통역사,3
2023-05-20,성내동,2024 삼척 장미축제,삼척시,생태자연,5
2023-05-21,성내동,2024 삼척 장미축제,삼척시,생태자연,5
2023-05-22,성내동,2024 삼척 장미축제,삼척시,생태자연,5
2023-05-23,성내동,2024 삼척 장미축제,삼척시,생태자연,5
2023-05-24,성내동,2024 삼척 장미축제,삼척시,생태자연,5
2023-10-21,성내동,제15회 삼척평생학습박람회 및 제5회 책축제,삼척시,기타,2
2023-10-22,성내동,제15회 삼척평생학습박람회 및 제5회 책축제,삼척시,기타,2
2023-01-13,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-14,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-15,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-16,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-17,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-18,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-19,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-20,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-21,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-22,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-23,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-01-24,홍천읍,제12회 홍천강 꽁꽁축제,홍천군,전통역사,12
2023-08-01,홍천읍,제8회 홍천강 별빛음악 맥주축제,홍천군,특산물,6
2023-08-02,홍천읍,제8회 홍천강 별빛음악 맥주축제,홍천군,특산물,6
2023-08-03,홍천읍,제8회 홍천강 별빛음악 맥주축제,홍천군,특산물,6
2023-08-04,홍천읍,제8회 홍천강 별빛음악 맥주축제,홍천군,특산물,6
2023-08-05,홍천읍,제8회 홍천강 별빛음악 맥주축제,홍천군,특산물,6
2023-08-06,홍천읍,제8회 홍천강 별빛음악 맥주축제,홍천군,특산물,6
2023-04-28,홍천읍,제6회 홍천산나물축제,홍천군,특산물,3
2023-04-29,홍천읍,제6회 홍천산나물축제,홍천군,특산물,3
2023-04-30,홍천읍,제6회 홍천산나물축제,홍천군,특산물,3
2023-07-28,홍천읍,제28회 홍천찰옥수수축제,홍천군,특산물,3
2023-07-29,홍천읍,제28회 홍천찰옥수수축제,홍천군,특산물,3
2023-07-30,홍천읍,제28회 홍천찰옥수수축제,홍천군,특산물,3
2023-10-06,홍천읍,제22회 강원홍천 인삼한우 명품축제,홍천군,특산물,4
2023-10-07,홍천읍,제22회 강원홍천 인삼한우 명품축제,홍천군,특산물,4
2023-10-08,홍천읍,제22회 강원홍천 인삼한우 명품축제,홍천군,특산물,4
2023-10-09,홍천읍,제22회 강원홍천 인삼한우 명품축제,홍천군,특산물,4
2023-11-03,홍천읍,제9회 홍천사과축제,홍천군,특산물,3
2023-11-04,홍천읍,제9회 홍천사과축제,홍천군,특산물,3
2023-11-05,홍천읍,제9회 홍천사과축제,홍천군,특산물,3
2023-08-12,둔내면,제13회 둔내고랭지토마토축제,횡성군,특산물,3
2023-08-13,둔내면,제13회 둔내고랭지토마토축제,횡성군,특산물,3
2023-08-14,둔내면,제13회 둔내고랭지토마토축제,횡성군,특산물,3
2023-09-15,청일면,제11회 횡성더덕축제,횡성군,특산물,3
2023-09-16,청일면,제11회 횡성더덕축제,횡성군,특산물,3
2023-09-17,청일면,제11회 횡성더덕축제,횡성군,특산물,3
2023-10-13,안흥면,제16회 안흥찐빵축제,횡성군,특산물,3
2023-10-14,안흥면,제16회 안흥찐빵축제,횡성군,특산물,3
2023-10-15,안흥면,제16회 안흥찐빵축제,횡성군,특산물,3
2023-10-06,횡성읍,제20회 횡성한우축제,횡성군,특산물,5
2023-10-07,횡성읍,제20회 횡성한우축제,횡성군,특산물,5
2023-10-08,횡성읍,제20회 횡성한우축제,횡성군,특산물,5
2023-10-09,횡성읍,제20회 횡성한우축제,횡성군,특산물,5
2023-10-10,횡성읍,제20회 횡성한우축제,횡성군,특산물,5
2023-05-05,갑천면,제5회 횡성호수길축제,횡성군,생태자연,3
2023-05-06,갑천면,제5회 횡성호수길축제,횡성군,생태자연,3
2023-05-07,갑천면,제5회 횡성호수길축제,횡성군,생태자연,3
2023-04-28,우천면,제35회 회다지민속문화제,횡성군,전통역사,3
2023-04-29,우천면,제35회 회다지민속문화제,횡성군,전통역사,3
2023-04-30,우천면,제35회 회다지민속문화제,횡성군,전통역사,3
2023-10-21,강림면,제5회 태종노구문화제,횡성군,전통역사,2
2023-10-22,강림면,제5회 태종노구문화제,횡성군,전통역사,2
2023-08-25,공근면,제2회 소(牛)맥 프리미엄 페스티벌,횡성군,기타,3
2023-08-26,공근면,제2회 소(牛)맥 프리미엄 페스티벌,횡성군,기타,3
2023-08-27,공근면,제2회 소(牛)맥 프리미엄 페스티벌,횡성군,기타,3
2023-04-28,영월읍,단종문화제,영월군,전통역사,3
2023-04-29,영월읍,단종문화제,영월군,전통역사,3
2023-04-30,영월읍,단종문화제,영월군,전통역사,3
2023-07-28,영월읍,동강뗏목축제,영월군,문화예술,3
2023-07-29,영월읍,동강뗏목축제,영월군,문화예술,3
2023-07-30,영월읍,동강뗏목축제,영월군,문화예술,3
2023-09-22,김삿갓면,김삿갓문화제,영월군,전통역사,3
2023-09-23,김삿갓면,김삿갓문화제,영월군,전통역사,3
2023-09-24,김삿갓면,김삿갓문화제,영월군,전통역사,3
2023-01-20,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-21,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-22,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-23,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-24,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-25,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-26,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-27,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-28,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-01-29,대관령면,제30회 대관령눈꽃축제,평창군,생태자연,10
2023-05-26,방림면,2024 계촌클래식축제,평창군,문화예술,3
2023-05-27,방림면,2024 계촌클래식축제,평창군,문화예술,3
2023-05-28,방림면,2024 계촌클래식축제,평창군,문화예술,3
2023-07-28,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-07-29,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-07-30,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-07-31,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-08-01,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-08-02,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-08-03,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-08-04,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-08-05,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-08-06,대화면,2024 평창더위사냥축제,평창군,생태자연,10
2023-09-08,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-09,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-10,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-11,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-12,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-13,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-14,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-15,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-16,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-17,봉평면,2024 평창효석문화제,평창군,문화예술,10
2023-09-15,용평면,2024 평창농악축제,평창군,전통역사,4
2023-09-16,용평면,2024 평창농악축제,평창군,전통역사,4
2023-09-17,용평면,2024 평창농악축제,평창군,전통역사,4
2023-09-18,용평면,2024 평창농악축제,평창군,전통역사,4
2023-09-22,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-23,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-24,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-25,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-26,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-27,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-28,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-29,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-09-30,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-10-01,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-10-02,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-10-03,평창읍,2024 평창백일홍축제,평창군,생태자연,12
2023-03-31,정선읍,제18회 정선 동강할미꽃 축제,정선군,생태자연,1
2023-07-29,고한읍,함백산야생화축제,정선군,생태자연,9
2023-07-30,고한읍,함백산야생화축제,정선군,생태자연,9
2023-07-31,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-01,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-02,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-03,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-04,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-05,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-06,고한읍,함백산야생화축제,정선군,생태자연,9
2023-08-04,사북읍,제28회 사북석탄문화제,정선군,문화예술,3
2023-08-05,사북읍,제28회 사북석탄문화제,정선군,문화예술,3
2023-08-06,사북읍,제28회 사북석탄문화제,정선군,문화예술,3
2023-05-27,방제리,두위봉 철쭉축제,정선군,생태자연,2
2023-05-28,방제리,두위봉 철쭉축제,정선군,생태자연,2
2023-04-29,화암면,제32회 화암약수제,정선군,기타,2
2023-04-30,화암면,제32회 화암약수제,정선군,기타,2
2023-04-21,북평면,2024 정선토속음식 축제,정선군,기타,3
2023-04-22,북평면,2024 정선토속음식 축제,정선군,기타,3
2023-04-23,북평면,2024 정선토속음식 축제,정선군,기타,3
2023-10-21,북평면,항골 숨바우길 트레킹 대회,정선군,기타,1
2023-09-14,정선읍,제49회 정선아리랑제,정선군,전통역사,4
2023-09-15,정선읍,제49회 정선아리랑제,정선군,전통역사,4
2023-09-16,정선읍,제49회 정선아리랑제,정선군,전통역사,4
2023-09-17,정선읍,제49회 정선아리랑제,정선군,전통역사,4
2023-01-14,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-15,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-16,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-17,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-18,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-19,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-20,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-21,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-22,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-23,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-01-24,동송읍,제13회 철원 한탄강 얼음트레킹 축제,철원군,생태자연,11
2023-08-03,김화읍,제18회 철원 화강 다슬기 축제,철원군,생태자연,4
2023-08-04,김화읍,제18회 철원 화강 다슬기 축제,철원군,생태자연,4
2023-08-05,김화읍,제18회 철원 화강 다슬기 축제,철원군,생태자연,4
2023-08-06,김화읍,제18회 철원 화강 다슬기 축제,철원군,생태자연,4
2023-10-05,갈말읍,제42회 태봉제,철원군,기타,3
2023-10-06,갈말읍,제42회 태봉제,철원군,기타,3
2023-10-07,갈말읍,제42회 태봉제,철원군,기타,3
2023-01-07,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-08,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-09,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-10,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-11,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-12,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-13,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-14,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-15,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-16,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-17,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-18,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-19,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-20,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-21,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-22,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-23,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-24,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-25,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-26,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-27,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-28,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-01-29,화천읍,제19회 산천어축제,화천군,문화예술,23
2023-08-03,"사내면,사창리",제20회 화천토마토축제,화천군,특산물,4
2023-08-04,"사내면,사창리",제20회 화천토마토축제,화천군,특산물,4
2023-08-05,"사내면,사창리",제20회 화천토마토축제,화천군,특산물,4
2023-08-06,"사내면,사창리",제20회 화천토마토축제,화천군,특산물,4
2023-05-05,양구읍,2024 청춘양구 곰취축제,양구군,특산물,3
2023-05-06,양구읍,2024 청춘양구 곰취축제,양구군,특산물,3
2023-05-07,양구읍,2024 청춘양구 곰취축제,양구군,특산물,3
2023-09-01,양구읍,2024 국토정중앙 청춘양구 배꼽축제,양구군,문화예술,3
2023-09-02,양구읍,2024 국토정중앙 청춘양구 배꼽축제,양구군,문화예술,3
2023-09-03,양구읍,2024 국토정중앙 청춘양구 배꼽축제,양구군,문화예술,3
2023-10-28,해안면,2024 청춘양구 펀치볼 시래기 사과 축제,양구군,특산물,2
2023-10-29,해안면,2024 청춘양구 펀치볼 시래기 사과 축제,양구군,특산물,2
2023-09-29,국토정중앙면,국토정중앙 양구 보름달축제,양구군,문화예술,2
2023-09-30,국토정중앙면,국토정중앙 양구 보름달축제,양구군,문화예술,2
2023-05-27,북면,제24회 용대황태축제,인제군,지역특산물,3
2023-05-28,북면,제24회 용대황태축제,인제군,지역특산물,3
2023-05-29,북면,제24회 용대황태축제,인제군,지역특산물,3
2023-10-13,인제읍,제42회 합강문화제,인제군,문화예술,3
2023-10-14,인제읍,제42회 합강문화제,인제군,문화예술,3
2023-10-15,인제읍,제42회 합강문화제,인제군,문화예술,3
2023-10-06,토성면,2024 봉포리 죽도 하트썸 축제,고성군,기타,3
2023-10-07,토성면,2024 봉포리 죽도 하트썸 축제,고성군,기타,3
2023-10-08,토성면,2024 봉포리 죽도 하트썸 축제,고성군,기타,3
2023-08-19,죽왕면,해안선 레저스포츠 페스티벌,고성군,기타,2
2023-08-20,죽왕면,해안선 레저스포츠 페스티벌,고성군,기타,2
2023-09-22,간성읍,제42회 군민의 날 및 수성문화제,고성군,전통역사,3
2023-09-23,간성읍,제42회 군민의 날 및 수성문화제,고성군,전통역사,3
2023-09-24,간성읍,제42회 군민의 날 및 수성문화제,고성군,전통역사,3
2023-10-26,거진읍,제24회 고성통일명태축제,고성군,전통역사,4
2023-10-27,거진읍,제24회 고성통일명태축제,고성군,전통역사,4
2023-10-28,거진읍,제24회 고성통일명태축제,고성군,전통역사,4
2023-10-29,거진읍,제24회 고성통일명태축제,고성군,전통역사,4
2023-03-03,양양읍,아기연어 보내기 체험행사,양양군,생태자연,3
2023-03-04,양양읍,아기연어 보내기 체험행사,양양군,생태자연,3
2023-03-05,양양읍,아기연어 보내기 체험행사,양양군,생태자연,3
2023-10-04,양양읍,양양송이연어축제,양양군,"특산물, 생태자연",5
2023-10-05,양양읍,양양송이연어축제,양양군,"특산물, 생태자연",5
2023-10-06,양양읍,양양송이연어축제,양양군,"특산물, 생태자연",5
2023-10-07,양양읍,양양송이연어축제,양양군,"특산물, 생태자연",5
2023-10-08,양양읍,양양송이연어축제,양양군,"특산물, 생태자연",5
2024-06-18,강남동,춘천막국수닭갈비축제,춘천시,지역특산물,6
2024-06-19,강남동,춘천막국수닭갈비축제,춘천시,지역특산물,6
2024-06-20,강남동,춘천막국수닭갈비축제,춘천시,지역특산물,6
